,words
3,pemisahan
4,pemodal
5,pemuda
6,pemuka
7,pemukulan
8,pemulihan
10,pen
11,penahanannya
12,penambang
13,penampakan
14,penampakannya
15,penangan
17,penantian
18,penata
19,pencabutan
22,pencita
24,pendahuluan
25,pendalaman
26,pendapatannya
27,pendingin
29,penengahan
30,penerangan
33,pengamanannya
34,pengambengan
37,pengantin
38,pengasih
39,pengawai
40,pengeluaran
45,pengendara
46,penggagalannya
47,penggantian
48,penggemar
49,penghujung
50,penginapan
53,pengoffset
54,pengrajin
55,pengucapan
56,pengujian
57,pengukur
58,pengulangan
60,pengunggah
61,pengunjung
62,penilaian
63,penina
65,penjagaan
66,penjamin
67,penjaradua
68,penjaran
70,penjata
71,penjelasan
72,penjemput
74,pensil
75,pensiunan
76,pentingnya
77,penulis
78,penumpang
79,penumpangnya
80,penutupannya
81,penuturan
82,penuturannya
84,penyandingan
85,penyebabnya
86,penyebarannya
87,penyeberangan
91,penyembuh
92,penyendiri
93,penyesalan
95,penyusunan
96,pepaya
97,per
98,peradaban
99,peraih
100,peralon
101,perangi
102,perawat
103,perayaan
104,perbaikan
105,perbak
106,perbakin
107,perbolehkan
108,perbuatan
109,perbuatannya
110,perbuatanya
111,perbulannya
112,percepat
113,percumalaporpolisi
116,perekonomian
117,perempuan
118,perencanaan
119,pergantian
120,pergerakan
121,pergerakannya
122,pergi
123,pergudangan
124,perguruan
125,perhatian
126,perhau
127,perhitungan
128,perihal
129,perikan
130,periksaan
131,perilakunya
133,peringati
134,peringkat
135,perintah
136,perintahkan
137,periode
138,perjalanan
139,perjalanandikatakannya
140,perkembangan
143,perkosa
144,perkumaan
145,perlahan
146,perlakuan
147,perlalulintasan
148,perlalulintasannnya
149,perlawanan
150,perlu
151,perlunya
152,permadi
153,permata
154,permen
155,permintaan
156,permohonan
157,permohonannya
158,permono
159,permukaan
160,pernohonannya
161,perpanjang
162,perpetaan
163,persangkakan
164,persawahan
165,persebarannya
166,persediaan
167,perselingkuhan
168,persen
169,persetujuan
170,persiapan
171,persimpangan
172,persinggahan
173,persisnya
174,persnya
176,persyaratan
177,pertahankan
178,pertamakanlinya
179,pertamanya
180,pertana
181,pertanda
182,pertandingan
183,pertanian
184,pertanyaan
185,pertemanan
186,pertemuan
187,pertengahan
188,pertigaan
190,pesanggaran
191,pesannya
192,pesantunan
193,petelur
194,peter
195,petir
198,petugaspun
199,peunaga
200,peuteuy
201,pf
202,phepeng
203,phesi
204,photo
205,pialing
206,pick
207,pickford
208,pidanakan
209,pie
210,pieces
211,pieh
212,piere
213,pif
214,pihaknnya
215,pihaknyapun
216,pikap
217,pikat
218,pilu
219,pimpin
220,pimpinanan
221,pimpingin
222,pinak
223,pinggiran
224,pining
225,pinoh
226,pisahkan
227,pit
228,pitit
229,pitung
230,pjr
231,pk
232,pkt
233,plasma
234,plaza
235,pleci
236,pli
237,plus
238,pm
239,pn
240,png
241,poin
242,point
243,poiri
244,poisi
245,pojok
246,pojokjabar
247,pojoksatu
248,pokhisen
249,pol
250,polair
251,policy
252,polisiapi
253,polisiasep
254,polisidari
255,polisii
256,polo
257,polusi
258,polyfoam
259,pom
260,pon
261,pool
262,populasinya
263,pora
264,pororus
265,port
266,porter
267,portonus
268,portugal
269,portunus
270,pos
271,posal
272,posisinya
273,post
276,postngan
277,potensial
278,potongan
279,pp
280,ppntianak
281,pr
282,prabowo
283,prabu
284,prakasa
285,pralon
286,pramagita
287,prameswari
288,prancis
289,prasetia
290,prasetiyo
291,prasetya
292,prasetyo
293,prasinus
294,pratama
295,prathama
296,pratikno
297,prayitno
298,prayoga
299,precursor
300,prenjak
301,presbytis
302,pribadinya
303,prigi
304,prihadi
305,prihandini
306,prihanto
307,prihantoko
308,primayanti
309,prince
310,printer
311,priyatna
312,probosciger
313,processing
315,progo
316,protap
317,protecting
318,protection
319,protokoler
320,provonsi
321,ps
322,psal
323,psdkp
324,psl
325,pt
326,pts
327,public
328,pudjiastuti
329,pujiono
330,pukil
331,pulai
332,pulalah
333,pulomeraksetelah
334,pulpa
335,pun
336,punahnya
337,pundak
338,pundaknya
339,pungguk
340,punggur
341,pungkas
342,pungkasnya
343,punglor
344,punglorpewarta
345,purbantoro
346,purbapewarta
347,purnomo
348,purnowo
349,purwadi
350,purwanto
351,purwo
352,purwodadi
354,put
355,putro
356,putusibau
357,putut
358,pvc
359,pw
360,px
361,pxhere
362,q
363,qassam
364,qg
365,qiushan
366,qm
367,qo
368,qodarsumber
369,qudrotul
370,queen
371,qz
372,r
373,ra
374,rachamad
375,rachel
376,rachmad
377,rachmi
378,radarmadura
379,radarsemarang
380,raden
381,radhiyatul
382,radista
383,raditya
384,rafli
385,rahardianti
386,raharjo
387,rahasia
388,rahem
389,rahmad
390,rahman
391,rahmaneditor
392,rahmat
393,rai
394,raider
395,raih
396,rajagaluh
397,rajak
398,rajo
399,ral
400,ramadan
401,ramadhan
402,ramadhani
403,rambe
404,rambo
405,rambutan
406,rami
